Year,Month,Decimal Year,Figure Reference,Sea_Area,Monthly_Average_Sea_Surface_Temperature_degrees_C
2002,4,2002.25,Figure 4.12,Faroe Shetland Channel,8.14
2002,5,2002.33,Figure 4.12,Faroe Shetland Channel,9.01
2002,6,2002.42,Figure 4.12,Faroe Shetland Channel,11.79
2002,7,2002.50,Figure 4.12,Faroe Shetland Channel,12.50
2002,8,2002.58,Figure 4.12,Faroe Shetland Channel,13.03
2002,9,2002.67,Figure 4.12,Faroe Shetland Channel,12.09
2002,10,2002.75,Figure 4.12,Faroe Shetland Channel,10.70
2002,11,2002.83,Figure 4.12,Faroe Shetland Channel,9.21
2002,12,2002.92,Figure 4.12,Faroe Shetland Channel,9.22
2003,1,2003.00,Figure 4.12,Faroe Shetland Channel,8.88
2003,2,2003.08,Figure 4.12,Faroe Shetland Channel,8.44
2003,3,2003.17,Figure 4.12,Faroe Shetland Channel,8.52
2003,4,2003.25,Figure 4.12,Faroe Shetland Channel,9.13
2003,5,2003.33,Figure 4.12,Faroe Shetland Channel,9.40
2003,6,2003.42,Figure 4.12,Faroe Shetland Channel,11.16
2003,7,2003.50,Figure 4.12,Faroe Shetland Channel,13.36
2003,8,2003.58,Figure 4.12,Faroe Shetland Channel,14.25
2003,9,2003.67,Figure 4.12,Faroe Shetland Channel,12.71
2003,10,2003.75,Figure 4.12,Faroe Shetland Channel,10.21
2003,11,2003.83,Figure 4.12,Faroe Shetland Channel,9.39
2003,12,2003.92,Figure 4.12,Faroe Shetland Channel,8.89
2004,1,2004.00,Figure 4.12,Faroe Shetland Channel,8.52
2004,2,2004.08,Figure 4.12,Faroe Shetland Channel,8.30
2004,3,2004.17,Figure 4.12,Faroe Shetland Channel,8.44
2004,4,2004.25,Figure 4.12,Faroe Shetland Channel,8.51
2004,5,2004.33,Figure 4.12,Faroe Shetland Channel,9.35
2004,6,2004.42,Figure 4.12,Faroe Shetland Channel,10.54
2004,7,2004.50,Figure 4.12,Faroe Shetland Channel,11.96
2004,8,2004.58,Figure 4.12,Faroe Shetland Channel,13.81
2004,9,2004.67,Figure 4.12,Faroe Shetland Channel,12.24
2004,10,2004.75,Figure 4.12,Faroe Shetland Channel,10.44
2004,11,2004.83,Figure 4.12,Faroe Shetland Channel,9.56
2004,12,2004.92,Figure 4.12,Faroe Shetland Channel,8.85
2005,1,2005.00,Figure 4.12,Faroe Shetland Channel,8.04
2005,2,2005.08,Figure 4.12,Faroe Shetland Channel,7.83
2005,3,2005.17,Figure 4.12,Faroe Shetland Channel,7.84
2005,4,2005.25,Figure 4.12,Faroe Shetland Channel,8.21
2005,5,2005.33,Figure 4.12,Faroe Shetland Channel,8.45
2005,6,2005.42,Figure 4.12,Faroe Shetland Channel,9.68
2005,7,2005.50,Figure 4.12,Faroe Shetland Channel,11.40
2005,8,2005.58,Figure 4.12,Faroe Shetland Channel,12.15
2005,9,2005.67,Figure 4.12,Faroe Shetland Channel,11.05
2005,10,2005.75,Figure 4.12,Faroe Shetland Channel,9.72
2005,11,2005.83,Figure 4.12,Faroe Shetland Channel,9.01
2005,12,2005.92,Figure 4.12,Faroe Shetland Channel,8.49
2006,1,2006.00,Figure 4.12,Faroe Shetland Channel,7.93
2006,2,2006.08,Figure 4.12,Faroe Shetland Channel,7.84
2006,3,2006.17,Figure 4.12,Faroe Shetland Channel,7.50
2006,4,2006.25,Figure 4.12,Faroe Shetland Channel,7.91
2006,5,2006.33,Figure 4.12,Faroe Shetland Channel,8.70
2006,6,2006.42,Figure 4.12,Faroe Shetland Channel,9.82
2006,7,2006.50,Figure 4.12,Faroe Shetland Channel,11.77
2006,8,2006.58,Figure 4.12,Faroe Shetland Channel,12.81
2006,9,2006.67,Figure 4.12,Faroe Shetland Channel,12.48
2006,10,2006.75,Figure 4.12,Faroe Shetland Channel,11.04
2006,11,2006.83,Figure 4.12,Faroe Shetland Channel,9.55
2006,12,2006.92,Figure 4.12,Faroe Shetland Channel,8.88
2007,1,2007.00,Figure 4.12,Faroe Shetland Channel,8.24
2007,2,2007.08,Figure 4.12,Faroe Shetland Channel,7.92
2007,3,2007.17,Figure 4.12,Faroe Shetland Channel,8.07
2007,4,2007.25,Figure 4.12,Faroe Shetland Channel,8.12
2007,5,2007.33,Figure 4.12,Faroe Shetland Channel,8.88
2007,6,2007.42,Figure 4.12,Faroe Shetland Channel,10.62
2007,7,2007.50,Figure 4.12,Faroe Shetland Channel,12.05
2007,8,2007.58,Figure 4.12,Faroe Shetland Channel,11.66
2007,9,2007.67,Figure 4.12,Faroe Shetland Channel,10.38
2007,10,2007.75,Figure 4.12,Faroe Shetland Channel,9.54
2007,11,2007.83,Figure 4.12,Faroe Shetland Channel,8.74
2007,12,2007.92,Figure 4.12,Faroe Shetland Channel,8.46
2008,1,2008.00,Figure 4.12,Faroe Shetland Channel,8.02
2008,2,2008.08,Figure 4.12,Faroe Shetland Channel,7.69
2008,3,2008.17,Figure 4.12,Faroe Shetland Channel,7.59
2008,4,2008.25,Figure 4.12,Faroe Shetland Channel,7.91
2008,5,2008.33,Figure 4.12,Faroe Shetland Channel,9.61
2008,6,2008.42,Figure 4.12,Faroe Shetland Channel,10.99
2008,7,2008.50,Figure 4.12,Faroe Shetland Channel,11.91
2008,8,2008.58,Figure 4.12,Faroe Shetland Channel,13.00
2008,9,2008.67,Figure 4.12,Faroe Shetland Channel,12.04
2008,10,2008.75,Figure 4.12,Faroe Shetland Channel,10.19
2008,11,2008.83,Figure 4.12,Faroe Shetland Channel,8.93
2008,12,2008.92,Figure 4.12,Faroe Shetland Channel,8.21
2009,1,2009.00,Figure 4.12,Faroe Shetland Channel,7.83
2009,2,2009.08,Figure 4.12,Faroe Shetland Channel,7.98
2009,3,2009.17,Figure 4.12,Faroe Shetland Channel,7.95
2009,4,2009.25,Figure 4.12,Faroe Shetland Channel,8.22
2009,5,2009.33,Figure 4.12,Faroe Shetland Channel,9.31
2009,6,2009.42,Figure 4.12,Faroe Shetland Channel,10.95
2009,7,2009.50,Figure 4.12,Faroe Shetland Channel,12.91
2009,8,2009.58,Figure 4.12,Faroe Shetland Channel,13.28
2009,9,2009.67,Figure 4.12,Faroe Shetland Channel,11.76
2009,10,2009.75,Figure 4.12,Faroe Shetland Channel,10.17
2009,11,2009.83,Figure 4.12,Faroe Shetland Channel,9.66
2009,12,2009.92,Figure 4.12,Faroe Shetland Channel,8.90
2010,1,2010.00,Figure 4.12,Faroe Shetland Channel,8.34
2010,2,2010.08,Figure 4.12,Faroe Shetland Channel,7.88
2010,3,2010.17,Figure 4.12,Faroe Shetland Channel,7.99
2010,4,2010.25,Figure 4.12,Faroe Shetland Channel,8.13
2010,5,2010.33,Figure 4.12,Faroe Shetland Channel,8.65
2010,6,2010.42,Figure 4.12,Faroe Shetland Channel,10.27
2010,7,2010.50,Figure 4.12,Faroe Shetland Channel,11.62
2010,8,2010.58,Figure 4.12,Faroe Shetland Channel,12.82
2010,9,2010.67,Figure 4.12,Faroe Shetland Channel,11.91
2010,10,2010.75,Figure 4.12,Faroe Shetland Channel,10.13
2010,11,2010.83,Figure 4.12,Faroe Shetland Channel,9.09
2010,12,2010.92,Figure 4.12,Faroe Shetland Channel,8.18
2011,1,2011.00,Figure 4.12,Faroe Shetland Channel,8.16
2011,2,2011.08,Figure 4.12,Faroe Shetland Channel,7.73
2011,3,2011.17,Figure 4.12,Faroe Shetland Channel,7.75
2011,4,2011.25,Figure 4.12,Faroe Shetland Channel,8.28
2011,5,2011.33,Figure 4.12,Faroe Shetland Channel,9.48
2011,6,2011.42,Figure 4.12,Faroe Shetland Channel,10.32
2011,7,2011.50,Figure 4.12,Faroe Shetland Channel,11.96
2011,8,2011.58,Figure 4.12,Faroe Shetland Channel,12.42
2011,9,2011.67,Figure 4.12,Faroe Shetland Channel,11.61
2011,10,2011.75,Figure 4.12,Faroe Shetland Channel,10.26
2011,11,2011.83,Figure 4.12,Faroe Shetland Channel,9.68
2011,12,2011.92,Figure 4.12,Faroe Shetland Channel,8.63
2012,1,2012.00,Figure 4.12,Faroe Shetland Channel,7.93
2012,2,2012.08,Figure 4.12,Faroe Shetland Channel,7.63
2012,3,2012.17,Figure 4.12,Faroe Shetland Channel,7.93
2012,4,2012.25,Figure 4.12,Faroe Shetland Channel,7.78
2012,5,2012.33,Figure 4.12,Faroe Shetland Channel,8.51
2012,6,2012.42,Figure 4.12,Faroe Shetland Channel,10.05
2012,7,2012.50,Figure 4.12,Faroe Shetland Channel,10.77
2012,8,2012.58,Figure 4.12,Faroe Shetland Channel,12.09
2012,9,2012.67,Figure 4.12,Faroe Shetland Channel,10.58
2012,10,2012.75,Figure 4.12,Faroe Shetland Channel,9.68
2012,11,2012.83,Figure 4.12,Faroe Shetland Channel,8.88
2012,12,2012.92,Figure 4.12,Faroe Shetland Channel,8.11
2013,1,2013.00,Figure 4.12,Faroe Shetland Channel,8.10
2013,2,2013.08,Figure 4.12,Faroe Shetland Channel,7.94
2013,3,2013.17,Figure 4.12,Faroe Shetland Channel,7.96
2013,4,2013.25,Figure 4.12,Faroe Shetland Channel,8.33
2013,5,2013.33,Figure 4.12,Faroe Shetland Channel,8.83
2013,6,2013.42,Figure 4.12,Faroe Shetland Channel,10.73
2013,7,2013.50,Figure 4.12,Faroe Shetland Channel,11.52
2013,8,2013.58,Figure 4.12,Faroe Shetland Channel,12.42
2013,9,2013.67,Figure 4.12,Faroe Shetland Channel,11.27
2013,10,2013.75,Figure 4.12,Faroe Shetland Channel,10.10
2013,11,2013.83,Figure 4.12,Faroe Shetland Channel,9.27
2013,12,2013.92,Figure 4.12,Faroe Shetland Channel,8.46
1997,1,1997.00,Figure 4.12,North Scotland Coast,8.32
1997,2,1997.08,Figure 4.12,North Scotland Coast,7.94
1997,3,1997.17,Figure 4.12,North Scotland Coast,7.92
1997,4,1997.25,Figure 4.12,North Scotland Coast,8.29
1997,5,1997.33,Figure 4.12,North Scotland Coast,9.10
1997,6,1997.42,Figure 4.12,North Scotland Coast,10.66
1997,7,1997.50,Figure 4.12,North Scotland Coast,12.46
1997,8,1997.58,Figure 4.12,North Scotland Coast,14.10
1997,9,1997.67,Figure 4.12,North Scotland Coast,12.67
1997,10,1997.75,Figure 4.12,North Scotland Coast,12.10
1997,11,1997.83,Figure 4.12,North Scotland Coast,11.41
1997,12,1997.92,Figure 4.12,North Scotland Coast,10.36
1998,1,1998.00,Figure 4.12,North Scotland Coast,9.43
1998,2,1998.08,Figure 4.12,North Scotland Coast,8.80
1998,3,1998.17,Figure 4.12,North Scotland Coast,8.68
1998,4,1998.25,Figure 4.12,North Scotland Coast,8.50
1998,5,1998.33,Figure 4.12,North Scotland Coast,9.55
1998,6,1998.42,Figure 4.12,North Scotland Coast,10.45
1998,7,1998.50,Figure 4.12,North Scotland Coast,11.69
1998,8,1998.58,Figure 4.12,North Scotland Coast,12.37
1998,9,1998.67,Figure 4.12,North Scotland Coast,12.52
1998,10,1998.75,Figure 4.12,North Scotland Coast,11.25
1998,11,1998.83,Figure 4.12,North Scotland Coast,10.07
1998,12,1998.92,Figure 4.12,North Scotland Coast,9.22
1999,1,1999.00,Figure 4.12,North Scotland Coast,8.49
1999,2,1999.08,Figure 4.12,North Scotland Coast,7.81
1999,3,1999.17,Figure 4.12,North Scotland Coast,7.63
1999,4,1999.25,Figure 4.12,North Scotland Coast,8.15
1999,5,1999.33,Figure 4.12,North Scotland Coast,9.17
1999,6,1999.42,Figure 4.12,North Scotland Coast,10.08
1999,7,1999.50,Figure 4.12,North Scotland Coast,12.26
1999,8,1999.58,Figure 4.12,North Scotland Coast,13.04
1999,9,1999.67,Figure 4.12,North Scotland Coast,12.53
1999,10,1999.75,Figure 4.12,North Scotland Coast,11.66
1999,11,1999.83,Figure 4.12,North Scotland Coast,10.64
1999,12,1999.92,Figure 4.12,North Scotland Coast,8.96
2000,1,2000.00,Figure 4.12,North Scotland Coast,8.04
2000,2,2000.08,Figure 4.12,North Scotland Coast,7.81
2000,3,2000.17,Figure 4.12,North Scotland Coast,7.95
2000,4,2000.25,Figure 4.12,North Scotland Coast,7.77
2000,5,2000.33,Figure 4.12,North Scotland Coast,9.68
2000,6,2000.42,Figure 4.12,North Scotland Coast,10.25
2000,7,2000.50,Figure 4.12,North Scotland Coast,11.41
2000,8,2000.58,Figure 4.12,North Scotland Coast,13.11
2000,9,2000.67,Figure 4.12,North Scotland Coast,12.54
2000,10,2000.75,Figure 4.12,North Scotland Coast,11.48
2000,11,2000.83,Figure 4.12,North Scotland Coast,10.24
2000,12,2000.92,Figure 4.12,North Scotland Coast,9.65
2001,1,2001.00,Figure 4.12,North Scotland Coast,8.98
2001,2,2001.08,Figure 4.12,North Scotland Coast,7.73
2001,3,2001.17,Figure 4.12,North Scotland Coast,7.51
2001,4,2001.25,Figure 4.12,North Scotland Coast,7.71
2001,5,2001.33,Figure 4.12,North Scotland Coast,9.24
2001,6,2001.42,Figure 4.12,North Scotland Coast,10.43
2001,7,2001.50,Figure 4.12,North Scotland Coast,11.96
2001,8,2001.58,Figure 4.12,North Scotland Coast,13.00
2001,9,2001.67,Figure 4.12,North Scotland Coast,12.38
2001,10,2001.75,Figure 4.12,North Scotland Coast,12.00
2001,11,2001.83,Figure 4.12,North Scotland Coast,10.80
2001,12,2001.92,Figure 4.12,North Scotland Coast,9.58
2002,1,2002.00,Figure 4.12,North Scotland Coast,8.80
2002,2,2002.08,Figure 4.12,North Scotland Coast,8.58
2002,3,2002.17,Figure 4.12,North Scotland Coast,8.03
2002,4,2002.25,Figure 4.12,North Scotland Coast,8.45
2002,5,2002.33,Figure 4.12,North Scotland Coast,9.53
2002,6,2002.42,Figure 4.12,North Scotland Coast,11.82
2002,7,2002.50,Figure 4.12,North Scotland Coast,12.85
2002,8,2002.58,Figure 4.12,North Scotland Coast,13.75
2002,9,2002.67,Figure 4.12,North Scotland Coast,13.19
2002,10,2002.75,Figure 4.12,North Scotland Coast,12.26
2002,11,2002.83,Figure 4.12,North Scotland Coast,10.71
2002,12,2002.92,Figure 4.12,North Scotland Coast,10.06
2003,1,2003.00,Figure 4.12,North Scotland Coast,9.15
2003,2,2003.08,Figure 4.12,North Scotland Coast,8.31
2003,3,2003.17,Figure 4.12,North Scotland Coast,8.27
2003,4,2003.25,Figure 4.12,North Scotland Coast,8.93
2003,5,2003.33,Figure 4.12,North Scotland Coast,9.80
2003,6,2003.42,Figure 4.12,North Scotland Coast,11.88
2003,7,2003.50,Figure 4.12,North Scotland Coast,13.62
2003,8,2003.58,Figure 4.12,North Scotland Coast,14.40
2003,9,2003.67,Figure 4.12,North Scotland Coast,13.49
2003,10,2003.75,Figure 4.12,North Scotland Coast,11.93
2003,11,2003.83,Figure 4.12,North Scotland Coast,11.10
2003,12,2003.92,Figure 4.12,North Scotland Coast,10.14
2004,1,2004.00,Figure 4.12,North Scotland Coast,9.16
2004,2,2004.08,Figure 4.12,North Scotland Coast,8.51
2004,3,2004.17,Figure 4.12,North Scotland Coast,8.42
2004,4,2004.25,Figure 4.12,North Scotland Coast,8.49
2004,5,2004.33,Figure 4.12,North Scotland Coast,9.39
2004,6,2004.42,Figure 4.12,North Scotland Coast,11.15
2004,7,2004.50,Figure 4.12,North Scotland Coast,12.66
2004,8,2004.58,Figure 4.12,North Scotland Coast,13.99
2004,9,2004.67,Figure 4.12,North Scotland Coast,13.02
2004,10,2004.75,Figure 4.12,North Scotland Coast,11.70
2004,11,2004.83,Figure 4.12,North Scotland Coast,10.97
2004,12,2004.92,Figure 4.12,North Scotland Coast,10.01
2005,1,2005.00,Figure 4.12,North Scotland Coast,8.59
2005,2,2005.08,Figure 4.12,North Scotland Coast,8.08
2005,3,2005.17,Figure 4.12,North Scotland Coast,7.82
2005,4,2005.25,Figure 4.12,North Scotland Coast,8.35
2005,5,2005.33,Figure 4.12,North Scotland Coast,9.06
2005,6,2005.42,Figure 4.12,North Scotland Coast,10.69
2005,7,2005.50,Figure 4.12,North Scotland Coast,12.67
2005,8,2005.58,Figure 4.12,North Scotland Coast,12.85
2005,9,2005.67,Figure 4.12,North Scotland Coast,12.45
2005,10,2005.75,Figure 4.12,North Scotland Coast,11.84
2005,11,2005.83,Figure 4.12,North Scotland Coast,11.11
2005,12,2005.92,Figure 4.12,North Scotland Coast,9.89
2006,1,2006.00,Figure 4.12,North Scotland Coast,9.07
2006,2,2006.08,Figure 4.12,North Scotland Coast,8.56
2006,3,2006.17,Figure 4.12,North Scotland Coast,7.85
2006,4,2006.25,Figure 4.12,North Scotland Coast,7.85
2006,5,2006.33,Figure 4.12,North Scotland Coast,8.80
2006,6,2006.42,Figure 4.12,North Scotland Coast,10.78
2006,7,2006.50,Figure 4.12,North Scotland Coast,13.04
2006,8,2006.58,Figure 4.12,North Scotland Coast,13.46
2006,9,2006.67,Figure 4.12,North Scotland Coast,13.32
2006,10,2006.75,Figure 4.12,North Scotland Coast,12.49
2006,11,2006.83,Figure 4.12,North Scotland Coast,11.11
2006,12,2006.92,Figure 4.12,North Scotland Coast,10.07
2007,1,2007.00,Figure 4.12,North Scotland Coast,9.09
2007,2,2007.08,Figure 4.12,North Scotland Coast,8.51
2007,3,2007.17,Figure 4.12,North Scotland Coast,8.39
2007,4,2007.25,Figure 4.12,North Scotland Coast,8.73
2007,5,2007.33,Figure 4.12,North Scotland Coast,9.63
2007,6,2007.42,Figure 4.12,North Scotland Coast,11.27
2007,7,2007.50,Figure 4.12,North Scotland Coast,12.47
2007,8,2007.58,Figure 4.12,North Scotland Coast,12.43
2007,9,2007.67,Figure 4.12,North Scotland Coast,11.85
2007,10,2007.75,Figure 4.12,North Scotland Coast,11.38
2007,11,2007.83,Figure 4.12,North Scotland Coast,10.46
2007,12,2007.92,Figure 4.12,North Scotland Coast,9.46
2008,1,2008.00,Figure 4.12,North Scotland Coast,8.68
2008,2,2008.08,Figure 4.12,North Scotland Coast,8.02
2008,3,2008.17,Figure 4.12,North Scotland Coast,7.77
2008,4,2008.25,Figure 4.12,North Scotland Coast,8.01
2008,5,2008.33,Figure 4.12,North Scotland Coast,10.14
2008,6,2008.42,Figure 4.12,North Scotland Coast,11.44
2008,7,2008.50,Figure 4.12,North Scotland Coast,12.20
2008,8,2008.58,Figure 4.12,North Scotland Coast,13.54
2008,9,2008.67,Figure 4.12,North Scotland Coast,13.06
2008,10,2008.75,Figure 4.12,North Scotland Coast,11.62
2008,11,2008.83,Figure 4.12,North Scotland Coast,10.29
2008,12,2008.92,Figure 4.12,North Scotland Coast,9.07
2009,1,2009.00,Figure 4.12,North Scotland Coast,8.42
2009,2,2009.08,Figure 4.12,North Scotland Coast,8.07
2009,3,2009.17,Figure 4.12,North Scotland Coast,8.05
2009,4,2009.25,Figure 4.12,North Scotland Coast,8.54
2009,5,2009.33,Figure 4.12,North Scotland Coast,9.58
2009,6,2009.42,Figure 4.12,North Scotland Coast,11.65
2009,7,2009.50,Figure 4.12,North Scotland Coast,13.91
2009,8,2009.58,Figure 4.12,North Scotland Coast,14.00
2009,9,2009.67,Figure 4.12,North Scotland Coast,13.00
2009,10,2009.75,Figure 4.12,North Scotland Coast,11.98
2009,11,2009.83,Figure 4.12,North Scotland Coast,11.27
2009,12,2009.92,Figure 4.12,North Scotland Coast,10.02
2010,1,2010.00,Figure 4.12,North Scotland Coast,8.87
2010,2,2010.08,Figure 4.12,North Scotland Coast,7.94
2010,3,2010.17,Figure 4.12,North Scotland Coast,7.90
2010,4,2010.25,Figure 4.12,North Scotland Coast,8.07
2010,5,2010.33,Figure 4.12,North Scotland Coast,8.85
2010,6,2010.42,Figure 4.12,North Scotland Coast,11.26
2010,7,2010.50,Figure 4.12,North Scotland Coast,12.45
2010,8,2010.58,Figure 4.12,North Scotland Coast,13.39
2010,9,2010.67,Figure 4.12,North Scotland Coast,12.66
2010,10,2010.75,Figure 4.12,North Scotland Coast,11.55
2010,11,2010.83,Figure 4.12,North Scotland Coast,10.38
2010,12,2010.92,Figure 4.12,North Scotland Coast,8.87
2011,1,2011.00,Figure 4.12,North Scotland Coast,8.22
2011,2,2011.08,Figure 4.12,North Scotland Coast,7.75
2011,3,2011.17,Figure 4.12,North Scotland Coast,7.92
2011,4,2011.25,Figure 4.12,North Scotland Coast,8.51
2011,5,2011.33,Figure 4.12,North Scotland Coast,9.84
2011,6,2011.42,Figure 4.12,North Scotland Coast,11.01
2011,7,2011.50,Figure 4.12,North Scotland Coast,12.96
2011,8,2011.58,Figure 4.12,North Scotland Coast,13.18
2011,9,2011.67,Figure 4.12,North Scotland Coast,12.54
2011,10,2011.75,Figure 4.12,North Scotland Coast,11.80
2011,11,2011.83,Figure 4.12,North Scotland Coast,11.21
2011,12,2011.92,Figure 4.12,North Scotland Coast,9.75
2012,1,2012.00,Figure 4.12,North Scotland Coast,8.60
2012,2,2012.08,Figure 4.12,North Scotland Coast,8.14
2012,3,2012.17,Figure 4.12,North Scotland Coast,8.48
2012,4,2012.25,Figure 4.12,North Scotland Coast,8.56
2012,5,2012.33,Figure 4.12,North Scotland Coast,9.28
2012,6,2012.42,Figure 4.12,North Scotland Coast,11.00
2012,7,2012.50,Figure 4.12,North Scotland Coast,11.79
2012,8,2012.58,Figure 4.12,North Scotland Coast,13.20
2012,9,2012.67,Figure 4.12,North Scotland Coast,12.08
2012,10,2012.75,Figure 4.12,North Scotland Coast,11.29
2012,11,2012.83,Figure 4.12,North Scotland Coast,10.36
2012,12,2012.92,Figure 4.12,North Scotland Coast,9.22
2013,1,2013.00,Figure 4.12,North Scotland Coast,8.47
2013,2,2013.08,Figure 4.12,North Scotland Coast,7.66
2013,3,2013.17,Figure 4.12,North Scotland Coast,7.35
2013,4,2013.25,Figure 4.12,North Scotland Coast,7.68
2013,5,2013.33,Figure 4.12,North Scotland Coast,8.63
2013,6,2013.42,Figure 4.12,North Scotland Coast,10.76
2013,7,2013.50,Figure 4.12,North Scotland Coast,12.22
2013,8,2013.58,Figure 4.12,North Scotland Coast,13.41
2013,9,2013.67,Figure 4.12,North Scotland Coast,12.37
2013,10,2013.75,Figure 4.12,North Scotland Coast,11.88
2013,11,2013.83,Figure 4.12,North Scotland Coast,10.90
2013,12,2013.92,Figure 4.12,North Scotland Coast,9.64
1997,1,1997.00,Figure 4.12,West Shetland,7.95
1997,2,1997.08,Figure 4.12,West Shetland,7.85
1997,3,1997.17,Figure 4.12,West Shetland,7.75
1997,4,1997.25,Figure 4.12,West Shetland,7.86
1997,5,1997.33,Figure 4.12,West Shetland,8.53
1997,6,1997.42,Figure 4.12,West Shetland,9.94
1997,7,1997.50,Figure 4.12,West Shetland,12.21
1997,8,1997.58,Figure 4.12,West Shetland,13.57
1997,9,1997.67,Figure 4.12,West Shetland,12.08
1997,10,1997.75,Figure 4.12,West Shetland,10.76
1997,11,1997.83,Figure 4.12,West Shetland,9.86
1997,12,1997.92,Figure 4.12,West Shetland,9.40
1998,1,1998.00,Figure 4.12,West Shetland,9.17
1998,2,1998.08,Figure 4.12,West Shetland,8.72
1998,3,1998.17,Figure 4.12,West Shetland,8.58
1998,4,1998.25,Figure 4.12,West Shetland,8.62
1998,5,1998.33,Figure 4.12,West Shetland,9.41
1998,6,1998.42,Figure 4.12,West Shetland,10.04
1998,7,1998.50,Figure 4.12,West Shetland,11.36
1998,8,1998.58,Figure 4.12,West Shetland,11.98
1998,9,1998.67,Figure 4.12,West Shetland,11.92
1998,10,1998.75,Figure 4.12,West Shetland,10.55
1998,11,1998.83,Figure 4.12,West Shetland,9.27
1998,12,1998.92,Figure 4.12,West Shetland,8.79
1999,1,1999.00,Figure 4.12,West Shetland,8.46
1999,2,1999.08,Figure 4.12,West Shetland,8.01
1999,3,1999.17,Figure 4.12,West Shetland,7.80
1999,4,1999.25,Figure 4.12,West Shetland,8.20
1999,5,1999.33,Figure 4.12,West Shetland,9.05
1999,6,1999.42,Figure 4.12,West Shetland,9.86
1999,7,1999.50,Figure 4.12,West Shetland,11.81
1999,8,1999.58,Figure 4.12,West Shetland,12.73
1999,9,1999.67,Figure 4.12,West Shetland,12.04
1999,10,1999.75,Figure 4.12,West Shetland,10.87
1999,11,1999.83,Figure 4.12,West Shetland,9.90
1999,12,1999.92,Figure 4.12,West Shetland,8.61
2000,1,2000.00,Figure 4.12,West Shetland,7.89
2000,2,2000.08,Figure 4.12,West Shetland,7.82
2000,3,2000.17,Figure 4.12,West Shetland,7.88
2000,4,2000.25,Figure 4.12,West Shetland,7.92
2000,5,2000.33,Figure 4.12,West Shetland,9.48
2000,6,2000.42,Figure 4.12,West Shetland,9.79
2000,7,2000.50,Figure 4.12,West Shetland,10.97
2000,8,2000.58,Figure 4.12,West Shetland,12.46
2000,9,2000.67,Figure 4.12,West Shetland,11.63
2000,10,2000.75,Figure 4.12,West Shetland,10.62
2000,11,2000.83,Figure 4.12,West Shetland,9.68
2000,12,2000.92,Figure 4.12,West Shetland,9.02
2001,1,2001.00,Figure 4.12,West Shetland,8.63
2001,2,2001.08,Figure 4.12,West Shetland,7.89
2001,3,2001.17,Figure 4.12,West Shetland,7.83
2001,4,2001.25,Figure 4.12,West Shetland,7.99
2001,5,2001.33,Figure 4.12,West Shetland,9.00
2001,6,2001.42,Figure 4.12,West Shetland,10.27
2001,7,2001.50,Figure 4.12,West Shetland,11.77
2001,8,2001.58,Figure 4.12,West Shetland,12.48
2001,9,2001.67,Figure 4.12,West Shetland,11.98
2001,10,2001.75,Figure 4.12,West Shetland,11.27
2001,11,2001.83,Figure 4.12,West Shetland,9.77
2001,12,2001.92,Figure 4.12,West Shetland,8.85
2002,1,2002.00,Figure 4.12,West Shetland,8.52
2002,2,2002.08,Figure 4.12,West Shetland,8.58
2002,3,2002.17,Figure 4.12,West Shetland,8.02
2002,4,2002.25,Figure 4.12,West Shetland,8.49
2002,5,2002.33,Figure 4.12,West Shetland,9.44
2002,6,2002.42,Figure 4.12,West Shetland,12.11
2002,7,2002.50,Figure 4.12,West Shetland,12.97
2002,8,2002.58,Figure 4.12,West Shetland,13.93
2002,9,2002.67,Figure 4.12,West Shetland,12.97
2002,10,2002.75,Figure 4.12,West Shetland,11.43
2002,11,2002.83,Figure 4.12,West Shetland,9.76
2002,12,2002.92,Figure 4.12,West Shetland,9.53
2003,1,2003.00,Figure 4.12,West Shetland,9.06
2003,2,2003.08,Figure 4.12,West Shetland,8.69
2003,3,2003.17,Figure 4.12,West Shetland,8.75
2003,4,2003.25,Figure 4.12,West Shetland,9.27
2003,5,2003.33,Figure 4.12,West Shetland,9.64
2003,6,2003.42,Figure 4.12,West Shetland,11.63
2003,7,2003.50,Figure 4.12,West Shetland,13.76
2003,8,2003.58,Figure 4.12,West Shetland,14.72
2003,9,2003.67,Figure 4.12,West Shetland,13.19
2003,10,2003.75,Figure 4.12,West Shetland,10.90
2003,11,2003.83,Figure 4.12,West Shetland,10.00
2003,12,2003.92,Figure 4.12,West Shetland,9.42
2004,1,2004.00,Figure 4.12,West Shetland,8.98
2004,2,2004.08,Figure 4.12,West Shetland,8.64
2004,3,2004.17,Figure 4.12,West Shetland,8.66
2004,4,2004.25,Figure 4.12,West Shetland,8.74
2004,5,2004.33,Figure 4.12,West Shetland,9.56
2004,6,2004.42,Figure 4.12,West Shetland,10.86
2004,7,2004.50,Figure 4.12,West Shetland,12.42
2004,8,2004.58,Figure 4.12,West Shetland,14.26
2004,9,2004.67,Figure 4.12,West Shetland,12.58
2004,10,2004.75,Figure 4.12,West Shetland,10.83
2004,11,2004.83,Figure 4.12,West Shetland,9.98
2004,12,2004.92,Figure 4.12,West Shetland,9.23
2005,1,2005.00,Figure 4.12,West Shetland,8.45
2005,2,2005.08,Figure 4.12,West Shetland,8.17
2005,3,2005.17,Figure 4.12,West Shetland,8.13
2005,4,2005.25,Figure 4.12,West Shetland,8.42
2005,5,2005.33,Figure 4.12,West Shetland,8.77
